lon,lat,year,pdsi
-91.75,36.75,1888,-0.74
-91.75,36.75,1889,1.94
-91.75,36.75,1890,0.231
-91.75,36.75,1891,0.555
-91.75,36.75,1892,3.881
-91.75,36.75,1893,1.996
-91.75,36.75,1894,-1.454
-91.75,36.75,1895,-2.225
-91.75,36.75,1896,-1.14
-91.75,36.75,1897,0.629
-91.75,36.75,1898,0.903
-91.75,36.75,1899,-0.443
-91.75,36.75,1900,-1.328
-91.75,36.75,1901,-3.873
-91.75,36.75,1902,-2.554
-91.75,36.75,1903,2.278
-91.75,36.75,1904,3.46
-91.75,36.75,1905,0.106
-91.75,36.75,1906,0.169
-91.75,36.75,1907,1.806
-91.75,36.75,1908,1.962
-91.75,36.75,1909,2.794
-91.75,36.75,1910,2.056
-91.75,36.75,1911,-4.036
-91.75,36.75,1912,2.677
-91.75,36.75,1913,-2.589
-91.75,36.75,1914,-3.56
-91.75,36.75,1915,3.189
-91.75,36.75,1916,1.676
-91.75,36.75,1917,0.206
-91.75,36.75,1918,-2.33
-91.75,36.75,1919,0.409
-91.75,36.75,1920,0.326
-91.75,36.75,1921,-0.784
-91.75,36.75,1922,-0.037
-91.75,36.75,1923,2.143
-91.75,36.75,1924,3.016
-91.75,36.75,1925,-2.773
-91.75,36.75,1926,-2.397
-91.75,36.75,1927,2.139
-91.75,36.75,1928,3.42
-91.75,36.75,1929,1.995
-91.75,36.75,1930,-2.551
-91.75,36.75,1931,-2.865
-91.75,36.75,1932,-1.039
-91.75,36.75,1933,-0.592
-91.75,36.75,1934,-3.169
-91.75,36.75,1935,3.773
-91.75,36.75,1936,-3.898
-91.75,36.75,1937,-0.452
-91.75,36.75,1938,1.9
-91.75,36.75,1939,0.421
-91.75,36.75,1940,-1.106
-91.75,36.75,1941,-2.569
-91.75,36.75,1942,0.507
-91.75,36.75,1943,-0.123
-91.75,36.75,1944,-1.744
-91.75,36.75,1945,3.578
-91.75,36.75,1946,0.72
-91.75,36.75,1947,0.121
-91.75,36.75,1948,0.64
-91.75,36.75,1949,1.61
-91.75,36.75,1950,2.348
-91.75,36.75,1951,3.526
-91.75,36.75,1952,-2.462
-91.75,36.75,1953,-2.975
-91.75,36.75,1954,-3.956
-91.75,36.75,1955,1.381
-91.75,36.75,1956,-1.462
-91.75,36.75,1957,2.106
-91.75,36.75,1958,1.158
-91.75,36.75,1959,-0.454
-91.75,36.75,1960,0.14
-91.75,36.75,1961,0.21
-91.75,36.75,1962,0.372
-91.75,36.75,1963,-2.199
-91.75,36.75,1964,-2.353
-91.75,36.75,1965,0.292
-91.75,36.75,1966,-1.276
-91.75,36.75,1967,-0.337
-91.75,36.75,1968,0.509
-91.75,36.75,1969,-0.01
-91.75,36.75,1970,0.613
-91.75,36.75,1971,-0.128
-91.75,36.75,1972,-1.936
-91.75,36.75,1973,3.931
-91.75,36.75,1974,3.566
-91.75,36.75,1975,2.625
-91.75,36.75,1976,1.262
-91.75,36.75,1977,-2.679
-91.75,36.75,1978,-0.39
-91.75,36.75,1979,2.318
-91.75,36.75,1980,-2.577
-91.75,36.75,1981,-0.687
-91.75,36.75,1982,0.438
-91.75,36.75,1983,0.014
-91.75,36.75,1984,-0.876
-91.75,36.75,1985,1.877
-91.75,36.75,1986,-1.096
-91.75,36.75,1987,-1.396
-91.75,36.75,1988,-0.723
-91.75,36.75,1989,0.992
-91.75,36.75,1990,0.3
-91.75,36.75,1991,-0.615
-91.75,36.75,1992,0.3
-91.75,36.75,1993,0.56
-91.75,36.75,1994,0.834
-91.75,36.75,1995,0.779
-91.75,36.75,1996,-0.597
-91.75,36.75,1997,0.462
-91.75,36.75,1998,0.51
-91.75,36.75,1999,-0.953
-91.75,36.75,2000,-0.908
-91.75,36.75,2001,-1.709
-91.75,36.75,2002,1.819
-91.75,36.75,2003,0.285
-91.75,36.75,2004,0.487
-91.75,36.75,2005,-1.69
-91.75,37.25,1600,0.226
-91.75,37.25,1601,0.772
-91.75,37.25,1602,0.813
-91.75,37.25,1603,0.179
-91.75,37.25,1604,0.751
-91.75,37.25,1605,1.32
-91.75,37.25,1606,3.902
-91.75,37.25,1607,1.86
-91.75,37.25,1608,-2.933
-91.75,37.25,1609,-0.191
-91.75,37.25,1610,-0.537
-91.75,37.25,1611,0.474
-91.75,37.25,1612,-1.374
-91.75,37.25,1613,-0.955
-91.75,37.25,1614,-1.34
-91.75,37.25,1615,-0.184
-91.75,37.25,1616,-0.968
-91.75,37.25,1617,-0.172
-91.75,37.25,1618,-0.761
-91.75,37.25,1619,-1.685
-91.75,37.25,1620,2.447
-91.75,37.25,1621,3.065
-91.75,37.25,1622,0.185
-91.75,37.25,1623,1.471
-91.75,37.25,1624,2.069
-91.75,37.25,1625,-0.142
-91.75,37.25,1626,1.815
-91.75,37.25,1627,-1.775
-91.75,37.25,1628,-2.996
-91.75,37.25,1629,2.106
-91.75,37.25,1630,-0.661
-91.75,37.25,1631,-1.737
-91.75,37.25,1632,-1.011
-91.75,37.25,1633,2.235
-91.75,37.25,1634,0.255
-91.75,37.25,1635,-0.291
-91.75,37.25,1636,2.954
-91.75,37.25,1637,2.368
